DATE;HEURE;NO;NO2;PM10;PM25;CO2;TEMP;HUMI
02-janv-13;20:00;ND;ND;341;134;480;21;48
01-janv-13;16:00;ND;ND;377;133;462;21;46
01-janv-13;18:00;ND;ND;399;152;458;21;47
02-janv-13;19:00;ND;ND;524;212;551;21;48
02-janv-13;11:00;ND;ND;350;127;510;20;47
25/03/2015;20:00;53;66;156;78;499;18,9;35,1
26/03/2015;0:00;27;55;91;51;400;18;33,5
26/03/2015;1:00;408;69;43;39;428;18,2;36,6
26/03/2015;2:00;127;50;27;24;403;17,9;36,9
26/03/2015;6:00;102;71;84;40;512;17,2;34
26/03/2015;16:00;76;58;118;56;633;18,4;51,2
26/03/2015;19:00;91;78;95;43;554;18,5;48,2
26/03/2015;20:00;52;67;151;78;492;18,7;46,5
26/03/2015;23:00;26;62;72;35;426;18,4;42,9
27/03/2015;0:00;26;68;96;53;387;18,5;43
27/03/2015;1:00;5;46;ND;ND;371;18,4;40,3
27/03/2015;4:00;22;57;32;16;390;17,5;40,2
27/03/2015;9:00;110;62;193;92;546;18,4;41,7
27/03/2015;20:00;ND;ND;114;62;544;19,2;35,1
28/03/2015;8:00;ND;ND;117;77;492;18,4;53,3
28/03/2015;12:00;ND;ND;89;41;547;19,1;58,1
28/03/2015;17:00;ND;ND;111;53;627;20,2;52,9
28/03/2015;19:00;ND;ND;62;26;537;19,7;50,9
29/03/2015;12:00;ND;ND;65;29;454;19,3;55,7
29/03/2015;16:00;ND;ND;69;36;484;19,4;57,3
29/03/2015;19:00;ND;ND;62;30;433;19,2;56,9
29/03/2015;22:00;ND;ND;63;29;407;19,3;57
30/03/2015;5:00;ND;ND;63;31;487;18,6;52,2
30/03/2015;7:00;ND;ND;187;105;722;19,5;50,9
30/03/2015;12:00;34;76;98;45;519;19,6;35
30/03/2015;15:00;39;79;106;51;644;19,9;36,5
30/03/2015;22:00;3;37;67;63;405;19,7;52,6
31/03/2015;1:00;<2;23;23;11;378;19,8;53,6
31/03/2015;4:00;5;37;81;41;416;19,3;50,5
31/03/2015;5:00;10;52;102;53;485;19,4;53,8
31/03/2015;13:00;39;72;100;44;523;19,9;36,5
31/03/2015;21:00;5;57;64;30;442;19,8;32,7
01/04/2015;0:00;8;45;76;40;414;19,7;34,6
01/04/2015;16:00;51;74;116;58;559;19,9;27,4
02/04/2015;7:00;21;60;86;45;488;18,9;44
02/04/2015;11:00;62;62;128;67;487;19,4;51,7
02/04/2015;13:00;66;61;128;66;529;19,6;53,9
02/04/2015;14:00;75;72;123;57;528;19,4;51,6
02/04/2015;16:00;65;64;244;127;570;19,7;50,8
02/04/2015;22:00;49;77;92;50;466;19,5;43,4
03/04/2015;5:00;4;43;20;14;380;18,9;43,2
03/04/2015;22:00;45;60;99;50;505;19,3;51,1
03/04/2015;23:00;45;63;74;38;502;19,3;49,9
04/04/2015;3:00;26;47;10;10;452;19,1;50,8
04/04/2015;6:00;19;42;86;43;471;18,8;51,5
04/04/2015;7:00;37;47;64;38;484;18,9;52,1
04/04/2015;13:00;54;50;108;59;570;19,2;47,9
04/04/2015;14:00;58;54;89;47;584;19,3;47
04/04/2015;15:00;50;51;73;39;608;19,3;46,4
04/04/2015;19:00;82;78;95;50;637;19,3;37,9
04/04/2015;0:00;8;58;72;37;493;18,6;34,5
05/04/2015;4:00;<2;39;6;<5;440;18,2;33,6
05/04/2015;8:00;9;54;48;27;472;17,8;34,6
05/04/2015;13:00;6;59;63;32;501;18,1;29,1
05/04/2015;20:00;24;82;60;38;517;18,5;27,2
05/04/2015;23:00;7;68;58;36;536;18,8;29,8
06/04/2015;4:00;<2;52;16;17;452;18,8;27,9
06/04/2015;15:00;9;68;99;59;544;19;31,2
06/04/2015;16:00;14;71;95;54;557;19,2;33,3
06/04/2015;19:00;37;78;165;83;587;19,4;36,2
06/04/2015;22:00;8;59;74;45;487;19,1;42,1
07/04/2015;5:00;<2;42;8;<5;449;18,1;34,3
07/04/2015;7:00;68;70;171;87;574;18,2;35,3
08/04/2015;3:00;<2;59;40;20;432;18,9;31,5
08/04/2015;4:00;15;66;24;18;435;19,1;31,3
08/04/2015;9:00;172;94;156;75;821;19,3;37,9
08/04/2015;12:00;80;94;124;61;573;19,7;33,1
08/04/2015;17:00;39;84;269;133;716;21,5;30,9
08/04/2015;20:00;64;104;174;79;627;20,9;32
08/04/2015;2:00;14;87;ND;ND;442;19,6;34,4
09/04/2015;12:00;139;111;125;74;615;20,7;32,8
09/04/2015;13:00;86;106;107;59;603;20,9;30,6
09/04/2015;18:00;78;114;128;60;789;22,5;26,9
10/04/2015;4:00;57;82;25;21;459;20,8;32,3
10/04/2015;13:00;66;91;163;78;612;22,1;35,3
10/04/2015;0:00;5;66;111;54;459;22,1;38,2
11/04/2015;6:00;<2;37;69;41;407;21;48,5
