DATE;HEURE;NO;NO2;PM10;CO2;TEMP;HUMI
2013-02-11;19:00;26;64;40;497;16;45
2013-02-11;21:00;12;41;19;479;16;42
2013-02-11;23:00;9;36;26;461;16;41
2013-02-12;09:00;73;50;39;513;14;45
2013-02-12;13:00;56;49;40;527;14;42
2013-02-12;21:00;12;47;52;517;15;34
2013-02-12;23:00;13;45;63;488;14;34
2013-02-13;04:00;3;37;32;466;14;33
2013-02-13;06:00;29;57;47;486;13;33
2013-02-13;10:00;78;68;52;504;13;32
2013-02-13;14:00;96;81;64;533;13;31
2013-02-13;23:00;20;48;109;479;13;30
2013-02-14;04:00;11;34;41;457;13;34
2013-02-14;05:00;38;50;46;468;12;39
2013-02-14;14:00;230;91;53;582;14;54
2013-02-14;21:00;35;65;26;503;16;51
2013-02-15;07:00;119;76;53;525;15;56
2013-02-15;14:00;ND;ND;33;500;17;45
2013-02-15;19:00;ND;ND;46;519;17;43
2013-02-16;01:00;ND;ND;37;488;17;41
2013-02-16;03:00;ND;ND;31;488;16;41
2013-02-16;21:00;ND;ND;47;491;17;44
2013-02-16;23:00;ND;ND;43;484;17;45
2013-02-17;01:00;ND;ND;26;447;17;43
2013-02-17;04:00;ND;ND;23;462;16;43
2013-02-17;06:00;ND;ND;24;467;15;45
2013-02-17;14:00;ND;ND;40;493;15;41
2013-02-17;16:00;ND;ND;31;505;15;42
2013-02-17;17:00;ND;ND;27;501;15;41
2013-02-17;21:00;ND;ND;19;465;15;39
2013-02-17;22:00;ND;ND;20;468;15;38
2013-02-18;00:00;ND;ND;51;448;15;36
2013-02-18;02:00;ND;ND;80;446;15;37
2013-02-18;03:00;ND;ND;42;448;15;37
2013-02-18;05:00;ND;ND;20;466;14;41
2013-02-18;10:00;ND;ND;39;496;14;40
2013-02-18;11:00;ND;ND;35;499;15;38
2013-02-18;15:00;ND;ND;44;505;15;38
2013-02-18;18:00;ND;ND;51;532;15;41
2013-02-19;05:00;ND;ND;33;537;14;40
2013-02-19;06:00;ND;ND;53;582;14;42
2013-02-19;09:00;ND;ND;65;539;14;40
2013-02-19;18:00;ND;ND;50;545;16;37
2013-02-19;21:00;ND;ND;38;489;16;38
2013-02-20;04:00;ND;ND;30;475;15;39
2013-02-20;06:00;ND;ND;47;495;14;43
2013-02-20;13:00;ND;ND;25;500;16;35
2013-02-20;18:00;ND;ND;41;563;15;32
2013-02-20;19:00;ND;ND;37;491;16;33
2013-02-20;21:00;ND;ND;<2;466;15;32
2013-02-21;02:00;ND;ND;85;438;15;29
2013-02-21;15:00;ND;ND;33;506;13;28
2013-02-21;16:00;ND;ND;34;531;13;28
2013-02-21;20:00;ND;ND;15;466;14;25
